,name,check_time,result,started_simulations,performed_simulations
0,tof_3,0.012120529,not_equivalent,18,1
1,barenco_tof_3,0.012547005,not_equivalent,18,1
2,mod5_4,0.010879745,not_equivalent,18,1
3,tof_4,0.013978166,not_equivalent,18,1
4,barenco_tof_4,0.013420818,not_equivalent,18,1
5,tof_5,0.01370095,not_equivalent,18,1
6,mod_mult_55,0.014377059,not_equivalent,18,1
7,barenco_tof_5,0.015402469,not_equivalent,18,1
8,vbe_adder_3,0.015601951,not_equivalent,18,1
9,gf2^4_mult,0.018894433,not_equivalent,18,1
10,csla_mux_3,0.150039853,not_equivalent,18,18
11,tof_10,0.020291579,not_equivalent,18,1
12,rc_adder_6,0.034331608,not_equivalent,18,18
13,gf2^5_mult,0.028460162,not_equivalent,18,1
14,mod_red_21,0.022996066,not_equivalent,18,1
15,hwb6,0.012701916,not_equivalent,18,1
16,barenco_tof_10,0.026320139,not_equivalent,18,1
17,gf2^6_mult,0.034297916,not_equivalent,18,1
18,csum_mux_9,2.885625257,not_equivalent,18,18
19,qcla_com_7,0.873753566,not_equivalent,18,18
20,qft_4,0.011307125,not_equivalent,18,1
21,gf2^7_mult,0.046310001,not_equivalent,18,1
22,qcla_adder_10,0.058588028,not_equivalent,18,1
23,ham15-low,0.029945919,not_equivalent,18,1
24,qcla_mod_7,0.077875012,not_equivalent,18,1
25,adder_8,0.053963309,not_equivalent,18,1
26,grover_5,0.046594352,not_equivalent,18,1
27,ham15-med,0.045066408,not_equivalent,18,1
