,name,n_gates_original,n_gates_transpiled,depth_original,depth_transpiled,gate_set,n_qubits_original,eq_check_time,eq_check_result,non_eq_check_time,non_eq_check_result,performed_simulations
0,tof_3,15,182,11,116,h_ccx,5,0.016882293,equivalent_up_to_global_phase,0.012120529,not_equivalent,1
1,barenco_tof_3,20,282,14,159,h_ccx,5,0.019674055,equivalent_up_to_global_phase,0.012547005,not_equivalent,1
3,mod5_4,23,283,23,179,h_ccx_cx_x,5,0.015974849,equivalent_up_to_global_phase,0.010879745,not_equivalent,1
6,tof_4,25,334,17,191,h_ccx,7,0.01748755,equivalent_up_to_global_phase,0.013978166,not_equivalent,1
4,barenco_tof_4,34,577,26,308,h_ccx,7,0.021049706,equivalent_up_to_global_phase,0.013420818,not_equivalent,1
9,tof_5,35,494,23,276,h_ccx,9,0.04544985,equivalent_up_to_global_phase,0.01370095,not_equivalent,1
7,mod_mult_55,49,610,20,246,h_x_ccx_cx,9,0.048443756,equivalent_up_to_global_phase,0.014377059,not_equivalent,1
8,barenco_tof_5,50,969,38,532,h_ccx,9,0.03708667,equivalent_up_to_global_phase,0.015402469,not_equivalent,1
11,vbe_adder_3,50,872,28,478,h_ccx_cx,10,0.028056503,equivalent_up_to_global_phase,0.015601951,not_equivalent,1
13,gf2^4_mult,65,1454,31,662,h_ccx_cx,12,0.324391279,equivalent_up_to_global_phase,0.018894433,not_equivalent,1
16,csla_mux_3,70,1052,24,428,h_cx_ccx,15,0.099116915,equivalent_up_to_global_phase,0.150039853,not_equivalent,18
23,tof_10,85,1137,53,674,h_ccx,19,73.126604123,equivalent_up_to_global_phase,0.020291579,not_equivalent,1
14,rc_adder_6,90,1262,40,526,h_cx_ccx_x,14,0.028285805,equivalent_up_to_global_phase,0.034331608,not_equivalent,18
15,gf2^5_mult,97,2424,38,901,h_ccx_cx,15,5.782104614,equivalent_up_to_global_phase,0.028460162,not_equivalent,1
12,mod_red_21,108,1583,58,723,h_x_ccx_cx,11,0.033329853,equivalent_up_to_global_phase,0.022996066,not_equivalent,1
5,hwb6,109,1528,62,833,h_cx_ccx_x,7,0.034024671,equivalent_up_to_global_phase,0.012701916,not_equivalent,1
22,barenco_tof_10,130,2948,98,1603,h_ccx,19,2.725318613,equivalent,0.026320139,not_equivalent,1
21,gf2^6_mult,135,3661,47,1254,h_ccx_cx,18,17.905536311,equivalent_up_to_global_phase,0.034297916,not_equivalent,1
32,csum_mux_9,140,2489,22,508,h_ccx_x,30,0.626469789,equivalent_up_to_global_phase,2.885625257,not_equivalent,18
27,qcla_com_7,153,3017,23,563,h_ccx_x_cx,24,0.150284981,equivalent_up_to_global_phase,0.873753566,not_equivalent,18
2,qft_4,159,595,134,365,h_t_cx_s_tdg_sdg_ccx,5,0.027867348,equivalent_up_to_global_phase,0.011307125,not_equivalent,1
25,gf2^7_mult,179,5354,55,1602,h_ccx_cx,21,512.523487849,equivalent_up_to_global_phase,0.046310001,not_equivalent,1
33,qcla_adder_10,181,3691,23,626,h_ccx_cx,36,0.690154162,equivalent_up_to_global_phase,0.058588028,not_equivalent,1
19,ham15-low,213,5158,129,2043,cx_h_ccx,17,3.035641778,equivalent_up_to_global_phase,0.029945919,not_equivalent,1
29,gf2^9_mult,285,9067,68,2816,h_ccx_cx,27,3600.0,timeout,60.0,timeout,18
28,qcla_mod_7,294,6175,58,1424,h_ccx_cx_x,26,1.230459965,equivalent_up_to_global_phase,0.077875012,not_equivalent,1
26,adder_8,330,5812,78,1528,h_cx_ccx_x,24,0.564110819,equivalent_up_to_global_phase,0.053963309,not_equivalent,1
31,gf2^10_mult,347,11224,77,2543,h_ccx_cx,30,3600.0,timeout,60.0,timeout,18
10,grover_5,351,3828,160,2021,h_x_ccx,9,0.255261908,equivalent_up_to_global_phase,0.046594352,not_equivalent,1
20,ham15-med,452,8274,255,4106,h_ccx_cx,17,4.28733823,equivalent,0.045066408,not_equivalent,1
34,gf2^16_mult,875,31547,133,7253,h_ccx_cx,48,3600.0,timeout,60.0,timeout,18
30,mod_adder_1024,1435,28212,787,12964,h_ccx_cx,28,3600.0,timeout,60.0,timeout,18
35,gf2^32_mult,3322,120314,261,20042,h_ccx_cx,96,3600.0,timeout,60.0,timeout,18
18,hwb10,31764,690262,18050,270667,h_cx_ccx_x,16,3600.0,timeout,60.0,timeout,18
17,hwb11,87789,2029790,52290,822368,h_cx_ccx_x,15,3600.0,timeout,60.0,timeout,18
24,hwb12,171482,3903808,98611,1529763,h_cx_ccx_x,20,3600.0,timeout,60.0,timeout,18
